"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Caranx","genus",NA,NA,"Caranx","Caranx","Carangidae",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carapus acus","species","Carapus acus","Carapus acus","Carapus","Carapus","Carapidae",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"Carcharhinus","genus",NA,NA,"Carcharhinus","Carcharhinus","Carcharhinidae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrolophus niger","species","Centrolophus niger","Centrolophus niger","Centrolophus","Centrolophus","Centrolophidae",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cepola macrophthalma","species","Cepola macrophthalma","Cepola macrophthalma","Cepola","Cepola","Cepolidae",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Ceratoscopelus","genus",NA,NA,"Ceratoscopelus","Ceratoscopelus","Myctophidae",0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Ceratoscopelus maderensis","species","Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Ceratoscopelus","Myctophidae",0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
"Chauliodus sloani","species","Chauliodus sloani","Chauliodus sloani","Chauliodus","Chauliodus","Stomiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cheilodipterus","genus",NA,NA,"Cheilodipterus","Cheilodipterus","Apogonidae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilodipterus novemstriatus","species","Cheilodipterus novemstriatus","Cheilodipterus novemstriatus","Cheilodipterus","Cheilodipterus","Apogonidae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelon","genus",NA,NA,"Chelon","Chelon","Mugilidae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
"Chelon auratus","species","Chelon auratus","Chelon auratus","Chelon","Chelon","Mugilidae",1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1
"Chelon labrosus","species","Chelon labrosus","Chelon labrosus","Chelon","Chelon","Mugilidae",1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
"Chelon ramada","species","Chelon ramada","Chelon ramada","Chelon","Chelon","Mugilidae",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"Chlorophthalmus agassizi","species","Chlorophthalmus agassizi","Chlorophthalmus agassizi","Chlorophthalmus","Chlorophthalmus","Chlorophthalmidae",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chromis","genus",NA,NA,"Chromis","Chromis","Pomacentridae",0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
