Source,Filter_ID,PCR_ID,Ecoregion,Country,Site_names,Common_MPA,MPA_Identi,Transect_ID,decimalLatitude,decimalLongitude,decimalLatitude_end,decimalLongitude_end,start_time,Date_Collection,Zone,Method,duration,filtr,vlm_f,EVE,EVS,Region,Projet
ACTNOW,DAR-2024-0344,GR01,Aegean Sea,Greece,ma_gr_gyaros_2024_Outside,Gyaros,30002,30002.3,37.49747959,24.87849159,37.47584112,24.88187595,11:37:00,12/06/2024,Outside,surface_boat_transect,30,0.45,30,EVE2322,EVS1190,Med,ACTNOW
ACTNOW,DAR-2024-0345,GR02,Aegean Sea,Greece,ma_gr_gyaros_2024_Outside,Gyaros,30002,30002.3,37.49747959,24.87849159,37.47584112,24.88187595,11:37:00,12/06/2024,Outside,surface_boat_transect,30,0.45,15,EVE2323,EVS1191,Med,ACTNOW
ACTNOW,DAR-2024-0347,GR03,Aegean Sea,Greece,ma_gr_gyaros_2024_Buffer,Gyaros,30002,30002.2,37.5356139,24.85290089,37.51911839,24.87319842,10:14:00,12/06/2024,Buffer,surface_boat_transect,30,0.45,33,EVE2325,EVS1192,Med,ACTNOW
ACTNOW,DAR-2024-0346,GR04,Aegean Sea,Greece,ma_gr_gyaros_2024_Buffer,Gyaros,30002,30002.2,37.5356139,24.85290089,37.51911839,24.87319842,10:14:00,12/06/2024,Buffer,surface_boat_transect,30,0.45,33,EVE2324,EVS1193,Med,ACTNOW
ACTNOW,DAR-2024-0349,GR05,Aegean Sea,Greece,ma_gr_gyaros_2024_NTZ,Gyaros,30002,30002.1,37.59275953,24.74756643,37.58335495,24.74986592,09:02:00,12/06/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2327,EVS1194,Med,ACTNOW
ACTNOW,DAR-2024-0348,GR06,Aegean Sea,Greece,ma_gr_gyaros_2024_NTZ,Gyaros,30002,30002.1,37.59275953,24.74756643,37.58335495,24.74986592,09:02:00,12/06/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2326,EVS1195,Med,ACTNOW
ACTNOW,DAR-2023-0920,MA08,Ionian Sea,Malta,ma_mt_amarre_2023_NTZ,MT0000105,40001,40001.1,35.95074738,14.48405219,35.9300468,14.50505668,12:35:00,12/09/2023,NTZ,surface_boat_transect,60,0.45,45,EVE2377,EVS652,Med,ACTNOW
ACTNOW,DAR-2023-0921,MA09,Ionian Sea,Malta,ma_mt_amarre_2023_NTZ,MT0000105,40001,40001.1,35.95074738,14.48405219,35.9300468,14.50505668,12:35:00,12/09/2023,NTZ,surface_boat_transect,60,0.45,44,EVE2379,EVS653,Med,ACTNOW
ACTNOW,DAR-2023-0924,MA10,Ionian Sea,Malta,ma_mt_amarre_2023_Buffer,MT0000105,40001,40001.2,35.8993786,14.54416858,35.88184043,14.56926775,11:00:00,12/09/2023,Buffer,surface_boat_transect,60,0.45,44,EVE2402,EVS503,Med,ACTNOW
ACTNOW,DAR-2023-0925,MA11,Ionian Sea,Malta,ma_mt_amarre_2023_Buffer,MT0000105,40001,40001.2,35.8993786,14.54416858,35.88184043,14.56926775,11:00:00,12/09/2023,Buffer,surface_boat_transect,60,0.45,54,EVE2403,EVS504,Med,ACTNOW
ACTNOW,DAR-2023-0922,MA12,Ionian Sea,Malta,ma_mt_amarre_2023_Outside,MT0000105,40001,40001.3,35.86595787,14.58105866,35.82801494,14.57281532,09:13:00,12/09/2023,Outside,surface_boat_transect,75,0.45,27.1,EVE2374,EVS654,Med,ACTNOW
ACTNOW,DAR-2023-0923,MA13,Ionian Sea,Malta,ma_mt_amarre_2023_Outside,MT0000105,40001,40001.3,35.86595787,14.58105866,35.82801494,14.57281532,09:13:00,12/09/2023,Outside,surface_boat_transect,75,0.45,59.6,EVE2376,EVS655,Med,ACTNOW
ACTNOW,DAR-2023-0965,MA01,Ionian Sea,Malta,ma_mt_amarre_2023_NTZ,MT0000102,40002,40002.1,36.00353229,14.35984156,35.99271499,14.32520628,09:43:00,11/09/2023,NTZ,surface_boat_transect,60,0.45,21,EVE2335,EVS495,Med,ACTNOW
ACTNOW,DAR-2023-0966,MA02,Ionian Sea,Malta,ma_mt_amarre_2023_NTZ,MT0000102,40002,40002.1,36.00353229,14.35984156,35.99271499,14.32520628,09:43:00,11/09/2023,NTZ,surface_boat_transect,60,0.45,36,EVE2336,EVS496,Med,ACTNOW
ACTNOW,DAR-2023-0964,MA03,Ionian Sea,Malta,ma_mt_amarre_2023_Buffer,MT0000102,40002,40002.2,35.94619457,14.32890704,35.91881272,14.32553423,11:34:00,11/09/2023,Buffer,surface_boat_transect,60,0.45,14.4,EVE2337,EVS497,Med,ACTNOW
