"class_name","scientific_name"
"Actinopteri","Belone"
"Actinopteri","Gymnocanthus"
"Actinopteri","Leuciscinae"
"Chondrichthyes","Pteroplatytrygon violacea"
"Actinopteri","Argentina silus"
"Actinopteri","Channa"
"Actinopteri","Solea solea"
"Actinopteri","Pomatoschistus minutus"
"Chondrichthyes","Hexanchus griseus"
"Actinopteri","Chlorophthalmus agassizi"
"Actinopteri","Spondyliosoma"
"Actinopteri","Macroramphosus scolopax"
"Actinopteri","Arnoglossus imperialis"
"Chondrichthyes","Raja microocellata"
"Actinopteri","Ophisurus serpens"
"Actinopteri","Cynoscion regalis"
"Actinopteri","Stomias boa"
"Actinopteri","Gobius paganellus"
"Actinopteri","Capros aper"
"Actinopteri","Trisopterus luscus"
"Actinopteri","Trichiurus"
"Chondrichthyes","Myliobatis aquila"
"Actinopteri","Gaidropsarus mediterraneus"
"Actinopteri","Belonidae"
"Actinopteri","Ctenogobius boleosoma"
"Aves","Pyrrhura"
"Chondrichthyes","Bathytoshia"
"Actinopteri","Trichiurus lepturus"
"Chondrichthyes","Carcharhinus"
"Amphibia","Aquarana catesbeiana"
"Actinopteri","Entelurus aequoreus"
"Actinopteri","Gobio lozanoi"
"Actinopteri","Lampanyctus pusillus"
"Actinopteri","Trachinus draco"
"Actinopteri","Gobius geniporus"
"Actinopteri","Cheilopogon pinnatibarbatus"
"Actinopteri","Vanneaugobius"
"Chondrichthyes","Raja"
"Actinopteri","Chromogobius"
"Actinopteri","Pegusa"
"Actinopteri","Gambusia holbrooki"
"Actinopteri","Tachysurus"
"Actinopteri","Diaphus metopoclampus"
"Actinopteri","Anguilla"
"Actinopteri","Lipophrys"
"Actinopteri","Blennius ocellaris"
"Actinopteri","Callionymus maculatus"
"Actinopteri","Pegusa bleekeri"
"Actinopteri","Lateolabrax"
"Actinopteri","Micromesistius"
"Actinopteri","Stephanolepis"
"Actinopteri","Zeus"
"Actinopteri","Ciliata mustela"
"Chondrichthyes","Gymnura altavela"
"Actinopteri","Ophichthus rufus"
"Actinopteri","Deltentosteus"
"Actinopteri","Buenia"
"Actinopteri","Oedalechilus"
"Actinopteri","Callionymus"
"Malacostraca","Gyge ovalis"
"Actinopteri","Bothus"
"Actinopteri","Bothus podas"
"Aves","Morus"
"Actinopteri","Lophius"
"Actinopteri","Hippocampus"
"Actinopteri","Gymnocanthus tricuspis"
"Actinopteri","Deltentosteus quadrimaculatus"
"Actinopteri","Cyclopterus lumpus"
"Actinopteri","Cottidae"
"Actinopteri","Deltentosteus collonianus"
"Actinopteri","Notoscopelus"
"Actinopteri","Gymnammodytes"
"Actinopteri","Gymnammodytes cicerelus"
"Actinopteri","Gobius gasteveni"
"Actinopteri","Umbrina"
"Actinopteri","Umbrina canariensis"
"Actinopteri","Sciaena"
"Actinopteri","Taurulus"
"Actinopteri","Taurulus bubalis"
"Actinopteri","Merluccius"
"Actinopteri","Merluccius merluccius"
"Actinopteri","Mycteroperca"
"Actinopteri","Pomatoschistus minutus complex"
"Actinopteri","Aphia"
"Actinopteri","Opisthonema oglinum"
"Actinopteri","Alosa"
"Actinopteri","Sardinella longiceps"
"Actinopteri","Synodus"
"Actinopteri","Gammogobius steinitzi"
"Actinopteri","Gammogobius"
"Actinopteri","Leptoscarus vaigiensis"
"Actinopteri","Salariopsis"
