"lon","lat","avg_sst"
-8.875,46.625,15.3613111230194
-8.875,46.875,15.2660925687988
-8.625,33.125,19.3390432576664
-8.625,33.375,19.9073219559883
-8.625,33.625,20.5024038690035
-8.625,33.875,20.8465022884431
-8.625,34.125,20.8962563738797
-8.625,34.375,20.782212643024
-8.625,34.625,20.6263929638055
-8.625,34.875,20.4828137309173
-8.625,35.125,20.3637427501991
-8.625,35.375,20.2769121315961
-8.625,35.625,20.2234421922861
-8.625,35.875,20.1696990278901
-8.625,36.125,20.0540432643369
-8.625,36.375,19.7443438670674
-8.625,36.625,19.1146990614511
-8.625,36.875,18.3406006964178
-8.625,37.125,17.8033329333113
-8.625,41.125,15.6489887159379
-8.625,43.375,15.5043712261596
-8.625,43.625,15.8025133336177
-8.625,43.875,16.1090706971174
-8.625,44.125,16.1983876176219
-8.625,44.375,16.1472127424563
-8.625,44.625,16.10303243783
-8.625,44.875,16.0722947146723
-8.625,45.125,16.0154094800272
-8.625,45.375,15.9393985649276
-8.625,45.625,15.8450542929394
-8.625,45.875,15.7397537335672
-8.625,46.125,15.622813878815
-8.625,46.375,15.482786545988
-8.625,46.625,15.3514750616147
-8.625,46.875,15.2669395592695
-8.375,33.375,19.7551635054291
-8.375,33.625,20.277540530012
-8.375,33.875,20.7313655686509
-8.375,34.125,20.9115022284086
-8.375,34.375,20.8533328009433
-8.375,34.625,20.7062837048306
-8.375,34.875,20.5677044665227
-8.375,35.125,20.4524585536269
-8.375,35.375,20.3608465246815
-8.375,35.625,20.2949449351577
-8.375,35.875,20.2338246778061
-8.375,36.125,20.1207645968661
-8.375,36.375,19.8212290852448
-8.375,36.625,19.2312837298451
-8.375,36.875,18.5216662375653
-8.375,37.125,18.0155460560908
-8.375,43.375,15.3651089433764
-8.375,43.625,15.639507820046
-8.375,43.875,15.9819668577017
-8.375,44.125,16.2042619126742
-8.375,44.375,16.1962837834176
-8.375,44.625,16.1308739354702
-8.375,44.875,16.0782236662067
-8.375,45.125,16.0168029076415
-8.375,45.375,15.9420488623322
-8.375,45.625,15.8519668526988
-8.375,45.875,15.7485515719554
-8.375,46.125,15.6254641397403
-8.375,46.375,15.4709559346809
-8.375,46.625,15.3353002240749
-8.375,46.875,15.2630597385552
-8.125,33.625,20.1904640718887
-8.125,33.875,20.6145350867933
-8.125,34.125,20.8939339632545
-8.125,34.375,20.9149995657916
-8.125,34.625,20.7948629452231
-8.125,34.875,20.6666388694054
-8.125,35.125,20.5635241680458
-8.125,35.375,20.4739613037943
-8.125,35.625,20.3884421072371
-8.125,35.875,20.2925405398093
-8.125,36.125,20.1521580336524
-8.125,36.375,19.8551361834417
-8.125,36.625,19.3174312258027
-8.125,36.875,18.6861744604475
-8.125,37.125,18.1645897542193
-8.125,43.625,15.6378958472789
-8.125,43.875,15.9410105611457
-8.125,44.125,16.1965843471673
-8.125,44.375,16.2488247657734
-8.125,44.625,16.1692346249773
-8.125,44.875,16.0957373322033
-8.125,45.125,16.019125300027
-8.125,45.375,15.9381690598576
-8.125,45.625,15.8497264033458
-8.125,45.875,15.7455734242507
-8.125,46.125,15.6180597289664
-8.125,46.375,15.4581144181757
-8.125,46.625,15.3241253394247
-8.125,46.875,15.2577045836735
-7.875,33.625,20.0230596417286
-7.875,33.875,20.459944886588
-7.875,34.125,20.8456278837444
-7.875,34.375,20.973961267315
-7.875,34.625,20.8938519837426
-7.875,34.875,20.7666115734747
-7.875,35.125,20.6631416362491
-7.875,35.375,20.5726771641299
-7.875,35.625,20.4675952098409
-7.875,35.875,20.3325952050464
-7.875,36.125,20.1677044727763
-7.875,36.375,19.8954913134132
-7.875,36.625,19.4406279996445
-7.875,36.875,18.9754640495842
-7.875,43.875,16.0217209852458
-7.875,44.125,16.21538219035
-7.875,44.375,16.2920487956271
-7.875,44.625,16.2049177070784
-7.875,44.875,16.1114203995043
-7.875,45.125,16.0146717947037
-7.875,45.375,15.9204641013849
-7.875,45.625,15.8215570006866
-7.875,45.875,15.7175952906166
-7.875,46.125,15.5923767089844
-7.875,46.375,15.4414204091974
-7.875,46.625,15.3144258775346
-7.875,46.875,15.2475679559134
-7.625,33.625,19.8813383592282
-7.625,33.875,20.3017209058251
-7.625,34.125,20.7602180991668
-7.625,34.375,21.0026224428187
-7.625,34.625,20.9882235761549
-7.625,34.875,20.8590159129575
-7.625,35.125,20.73546398142
-7.625,35.375,20.6286060979457
-7.625,35.625,20.5062017545023
-7.625,35.875,20.3493164406448
-7.625,36.125,20.1798083352261
-7.625,36.375,19.9417481552708
-7.625,36.625,19.5437973783316
-7.625,36.875,19.0682782918378
-7.625,37.125,18.7825952201593
-7.625,43.875,16.0884969377778
-7.625,44.125,16.2636334857003
-7.625,44.375,16.3238794243401
-7.625,44.625,16.229562480593
-7.625,44.875,16.1161471742098
-7.625,45.125,15.9975952685205
-7.625,45.375,15.8885515583017
-7.625,45.625,15.7833603040768
-7.625,45.875,15.6794532114039
-7.625,46.125,15.5610925043867
-7.625,46.375,15.4267756170262
-7.625,46.625,15.3104094885738
-7.625,46.875,15.2375679954154
-7.375,33.875,20.2289613087972
-7.375,34.125,20.5989066264668
-7.375,34.375,20.9202181863003
-7.375,34.625,21.0060924675947
-7.375,34.875,20.9162290864955
-7.375,35.125,20.7818301101851
-7.375,35.375,20.6504913653181
-7.375,35.625,20.5104913972115
-7.375,35.875,20.3420760774873
-7.375,36.125,20.1618028546943
-7.375,36.375,19.9411743924917
-7.375,36.625,19.6042891903653
-7.375,36.875,19.1805733461849
-7.375,37.125,18.8782236276429
-7.375,43.875,16.1682510011183
-7.375,44.125,16.334070672103
-7.375,44.375,16.3518302245218
-7.375,44.625,16.2357646702417
-7.375,44.875,16.1113931155596
-7.375,45.125,15.9822400906047
-7.375,45.375,15.8675679561219
-7.375,45.625,15.7640706906553
-7.375,45.875,15.6606553786439
-7.375,46.125,15.5534422879662
-7.375,46.375,15.4305460882969
-7.375,46.625,15.3207100649349
-7.375,46.875,15.2323220753279
-7.125,33.875,20.0366935625754
-7.125,34.125,20.3051635085559
-7.125,34.375,20.6424858791581
-7.125,34.625,20.8335514746077
-7.125,34.875,20.8494804882612
-7.125,35.125,20.7682509292019
-7.125,35.375,20.6429230267884
-7.125,35.625,20.4945350709509
-7.125,35.875,20.3051088781305
-7.125,36.125,20.0909012236882
-7.125,36.375,19.8725678751377
-7.125,36.625,19.6062017763899
-7.125,36.875,19.2749722798665
-7.125,37.125,19.0110651443565
-7.125,43.625,15.9391526472373
-7.125,43.875,16.2059286096708
-7.125,44.125,16.3901089397284
-7.125,44.375,16.3641799759995
-7.125,44.625,16.230546088818
-7.125,44.875,16.1019941835456
-7.125,45.125,15.9759012910186
-7.125,45.375,15.8647537752579
-7.125,45.625,15.7674586238757
-7.125,45.875,15.6682783267537
-7.125,46.125,15.5698903375636
-7.125,46.375,15.4601362702625
-7.125,46.625,15.3464750644288
-7.125,46.875,15.2352728869746
-6.875,34.125,20.0436334714212
-6.875,34.375,20.2349722711115
-6.875,34.625,20.461502273226
-6.875,34.875,20.5725131582041
-6.875,35.125,20.5966115701394
-6.875,35.375,20.5431142921656
-6.875,35.625,20.4329504211092
-6.875,35.875,20.2270213788976
-6.875,36.125,19.9716662474669
-6.875,36.375,19.7593165590463
-6.875,36.625,19.5824039438383
-6.875,36.875,19.3711470854087
-6.875,37.125,19.1511744593011
-6.875,43.625,16.0293985637811
-6.875,43.875,16.2867756072289
-6.875,44.125,16.4411471528434
-6.875,44.375,16.3778958033994
-6.875,44.625,16.2304914662095
-6.875,44.875,16.1035788775793
-6.875,45.125,15.9850269536503
-6.875,45.375,15.8773766606232
-6.875,45.625,15.7834695831674
-6.875,45.875,15.691557047797
-6.875,46.125,15.6018029119148
-6.875,46.375,15.499617154481
-6.875,46.625,15.3850816195128
-6.875,46.875,15.2524860048555
-6.625,34.375,19.9064750046027
-6.625,34.625,20.0658739173347
-6.625,34.875,20.1447536333011
-6.625,35.125,20.2484968268806
-6.625,35.375,20.28147491601
-6.625,35.625,20.248086971012
-6.625,35.875,20.0556280052727
-6.625,36.125,19.7740159634033
-6.625,36.375,19.5834422293908
-6.625,36.625,19.5257646164607
-6.625,36.875,19.4872400018035
-6.625,43.625,16.0882236345218
-6.625,43.875,16.3419668088194
-6.625,44.125,16.4730050837407
-6.625,44.375,16.3843712207398
-6.625,44.625,16.234617118627
-6.625,44.875,16.1143438568532
-6.625,45.125,16.0010105820953
-6.625,45.375,15.894699101891
-6.625,45.625,15.8022674107161
-6.625,45.875,15.7159559427063
-6.625,46.125,15.6307100441938
-6.625,46.375,15.5355734043434
-6.625,46.625,15.4222674057132
-6.625,46.875,15.2715569949541
-6.375,34.875,19.7654640322826
-6.375,35.125,19.8874858897892
-6.375,35.375,19.927267293461
-6.375,35.625,19.9533329062123
-6.375,35.875,19.774890258664
-6.375,36.125,19.5124312749977
-6.375,36.375,19.3636334268122
-6.375,36.625,19.3939613331862
-6.375,43.625,16.1223766451976
-6.375,43.875,16.373770158799
-6.375,44.125,16.4933056466566
-6.375,44.375,16.3936061885188
-6.375,44.625,16.2488520575351
-6.375,44.875,16.1369668772963
-6.375,45.125,16.0223766806347
-6.375,45.375,15.9154914142004
-6.375,45.625,15.8245351848707
-6.375,45.875,15.7389887147914
-6.375,46.125,15.6562291338144
-6.375,46.375,15.5675952577852
-6.375,46.625,15.4532236948691
-6.375,46.875,15.2772947373937
-6.125,35.375,19.666338279599
-6.125,35.625,19.6678684109547
-6.125,35.875,19.4251088783389
-6.125,36.125,19.2349996071696
-6.125,36.375,19.2180050057792
-6.125,43.625,16.1689887046814
-6.125,43.875,16.4101635615031
-6.125,44.125,16.5162564678922
-6.125,44.375,16.4110378776092
-6.125,44.625,16.2764477208664
-6.125,44.875,16.1718029480814
-6.125,45.125,16.0582510265496
-6.125,45.375,15.951365778355
-6.125,45.625,15.8606553703058
-6.125,45.875,15.7742072636964
-6.125,46.125,15.6901908806764
-6.125,46.375,15.5984696065142
-6.125,46.625,15.4736062581422
-6.125,46.875,15.2672673991469
-5.875,35.875,19.0822400004486
-5.875,36.125,18.9832509150271
-5.875,43.625,16.2462291196396
-5.875,43.875,16.4660105627091
-5.875,44.125,16.5518848935112
-5.875,44.375,16.4452728573742
-5.875,44.625,16.3198903479863
-5.875,44.875,16.2204367919046
-5.875,45.125,16.1074859926609
-5.875,45.375,15.9995898184229
-5.875,45.625,15.9114750486905
-5.875,45.875,15.8269668537411
-5.875,46.125,15.733223657139
-5.875,46.375,15.6225406615461
-5.875,46.625,15.4779504244445
-5.875,46.875,15.2551362762034
-5.625,35.875,18.9802181473195
-5.625,43.625,16.3600816257664
-5.625,43.875,16.5465297047558
-5.625,44.125,16.6092346196618
-5.625,44.375,16.5016936239649
-5.625,44.625,16.3810652018896
-5.625,44.875,16.2843985192763
-5.625,45.125,16.1719394902714
-5.625,45.375,16.060928607899
-5.625,45.625,15.9729504715549
-5.625,45.875,15.8852182242388
-5.625,46.125,15.7724859519083
-5.625,46.375,15.6352729067776
-5.625,46.625,15.4723493727179
-5.625,46.875,15.2529504755156
-5.375,36.125,18.2838520534703
-5.375,43.625,16.5045625056074
-5.375,43.875,16.6503001953083
-5.375,44.125,16.6829777623786
-5.375,44.375,16.5694258590865
-5.375,44.625,16.4524586708819
-5.375,44.875,16.3564477279538
-5.375,45.125,16.2470214927131
-5.375,45.375,16.136420421913
-5.375,45.625,16.0433329806302
-5.375,45.875,15.9421853993108
-5.375,46.125,15.8060652206504
-5.375,46.375,15.6436335766902
-5.375,46.625,15.4736881464557
-5.375,46.875,15.2713930671984
-5.125,35.625,19.1607919130169
-5.125,35.875,18.9042618470114
-5.125,36.125,18.507485957745
-5.125,36.375,18.3479777112033
-5.125,43.625,16.6609558798576
-5.125,43.875,16.7580323974943
-5.125,44.125,16.750464150163
-5.125,44.375,16.628414896668
-5.125,44.625,16.5155460743305
-5.125,44.875,16.4254367937807
-5.125,45.125,16.3226226040574
-5.125,45.375,16.2129231411251
-5.125,45.625,16.1120761496122
-5.125,45.875,15.9939067611277
-5.125,46.125,15.8347536853102
-5.125,46.375,15.6554641332783
-5.125,46.625,15.4878684992347
-5.125,46.875,15.3101636490535
-4.875,35.375,19.5032235911635
-4.875,35.625,19.3799449316139
-4.875,35.875,19.1064476523894
-4.875,36.125,18.7368302371333
-4.875,36.375,18.5235515135885
-4.875,43.625,16.7916116532081
-4.875,43.875,16.8429231200713
-4.875,44.125,16.7961744662842
-4.875,44.375,16.6657646444977
-4.875,44.625,16.5579231058965
-4.875,44.875,16.4806827117837
-4.875,45.125,16.3902455470601
-4.875,45.375,16.2828138356652
-4.875,45.625,16.1753548689879
-4.875,45.875,16.0436061978992
-4.875,46.125,15.8647810461743
-4.875,46.375,15.6730051040649
-4.875,46.625,15.5135788787258
-4.875,46.875,15.3586608256147
-4.625,35.375,19.5858192443848
-4.625,35.625,19.5776224970166
-4.625,35.875,19.3404093987303
