"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Buglossidium luteum","species","Buglossidium luteum","Buglossidium luteum","Buglossidium","Buglossidium","Soleidae",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callionymus maculatus","species","Callionymus maculatus","Callionymus maculatus","Callionymus","Callionymus","Callionymidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Capros aper","species","Capros aper","Capros aper","Capros","Capros","Caproidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64037,0
"Caranx","genus",NA,NA,"Caranx","Caranx","Carangidae",169,0,41,0,0,0,503,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carapus acus","species","Carapus acus","Carapus acus","Carapus","Carapus","Carapidae",0,0,0,0,0,0,0,0,0,0,0,301,129,0,0,0,0,0,0,0,0,889,0,6107,0
"Carcharhinus","genus",NA,NA,"Carcharhinus","Carcharhinus","Carcharhinidae",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrolophus niger","species","Centrolophus niger","Centrolophus niger","Centrolophus","Centrolophus","Centrolophidae",0,0,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cepola macrophthalma","species","Cepola macrophthalma","Cepola macrophthalma","Cepola","Cepola","Cepolidae",0,0,0,1201,0,0,1012,0,0,0,0,0,0,0,0,3118,0,247,0,0,0,33913,0,0,0
"Ceratoscopelus","genus",NA,NA,"Ceratoscopelus","Ceratoscopelus","Myctophidae",0,0,2519,1009,0,1770,66,0,436,342,0,0,0,0,0,0,0,0,0,0,0,342,0,3250,0
"Ceratoscopelus maderensis","species","Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Ceratoscopelus","Myctophidae",0,40,3515,1347,767,11100,0,1205,2061,714,232,2939,364,0,1576,334,0,12,0,389,0,25041,0,9570,5879
