"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001.1","10001.2","10001.3","20001.1","20001.2","20001.3","20002.1","20002.2","20002.3","20003.1","20003.2","20003.3","30001.1","30001.2","30001.3","30002.1","30002.2","30002.3","40001.1","40001.2","40001.3","40002.1","40002.2","40002.3","50001.1","50001.2","50001.3","50002.1","50002.2","50002.3","50003.1","50003.2","50003.3","70001.1.1","70001.1.2","70001.2.1","70001.2.2","70001.3.1","70001.3.2","70002.1","70002.2","70002.3","70003.1","70003.2","70003.3","70004.1","70004.2","70004.3","70004.4","70005.1","70005.2","70005.3","70005.4","70006.1","70006.2","70006.3","70006.4","70006.5","70006.6","80001.1","80001.2","80001.3","80002.1","80002.2","80002.3","90004.1.1","90004.1.2","90004.1.3","90004.1.4","90004.2.1","90004.2.2","90004.3.1","90004.3.2","90005.1.1","90005.1.2","90005.1.3","90005.1.4","90005.2.1","90005.2.2","90005.2.3","90005.2.4","90005.2.5","90005.2.6","90005.3.1","90005.3.2","90005.3.3","90005.3.4","90005.3.5","90005.3.6","90005.4.1","90005.4.2","90005.4.3","90006.1.1","90006.1.2","90006.1.3","90006.2.1","90006.2.2","90006.3.1","90006.3.2","90006.3.3","90006.3.4","90006.4.1","90006.4.2","90006.4.3","90007.1","90007.2.1","90007.2.3","90007.2.4","90008.1.1","90008.1.2.1","90008.1.2.2","90008.1.3","90008.1.4","90008.1.5","90008.2.1","90008.2.2.1","90008.2.2.2","90008.2.3","90008.2.4.1","90008.2.4.2","90008.2.5","90008.2.6.1","90008.2.6.2","90008.3.1","90008.3.2","90008.3.3","90008.3.4","90008.3.5","90008.4.1","90008.4.2","90009.1.1","90009.1.2","90009.2.1","90009.2.2"
"Apogon","genus",NA,NA,"Apogon","Apogon","Apogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,284,141,0,798,0,0,0,124,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39193,0,272,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
"Apogon imberbis","species","Apogon imberbis","Apogon imberbis","Apogon","Apogon","Apogonidae",0,0,0,0,14,0,0,0,0,374,0,0,49,0,217,1395,0,0,0,219,24,0,705,1923,0,0,0,0,0,0,0,451,0,84,1117,14,574,165,655,0,0,0,4945,20356,0,152990,48241,0,97869,0,23172,0,7121,2032,8605,0,0,1035,4134,64,0,22,0,0,0,420,0,0,0,0,0,0,686,0,0,0,0,1683,0,0,0,0,5376,0,0,0,5697,0,0,0,0,0,2701,1587,8364,0,0,3035,0,0,0,6938,5676,0,40285,0,0,0,0,0,0,0,0,0,0,6957,2860,20382,0,0,1250,5229,13507,0,0,0,0,0,554,0,0,22774,0,0
"Apogon pacificus","species","Apogon pacificus","Apogon pacificus","Apogon","Apogon","Apogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0
"Argyropelecus hemigymnus","species","Argyropelecus hemigymnus","Argyropelecus hemigymnus","Argyropelecus","Argyropelecus","Sternoptychidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ariosoma","genus",NA,NA,"Ariosoma","Ariosoma","Congridae",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Arnoglossus","genus",NA,NA,"Arnoglossus","Arnoglossus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnoglossus imperialis","species","Arnoglossus imperialis","Arnoglossus imperialis","Arnoglossus","Arnoglossus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0
"Arnoglossus laterna","species","Arnoglossus laterna","Arnoglossus laterna","Arnoglossus","Arnoglossus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnoglossus thori","species","Arnoglossus thori","Arnoglossus thori","Arnoglossus","Arnoglossus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,151,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,742,0,0,0,0,0,16487,0,0,2883,0,0,186,0,0,472,295,0,0,0,0,0,0,0,7585,0,0,250,784,0,0,9,0,3241,108,0,0,0,0,0,0,5,0,0,0,0,0,0
"Atherina","genus",NA,NA,"Atherina","Atherina","Atherinidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
