"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Diplodus","genus",NA,NA,"Diplodus","Diplodus","Sparidae",7926,7626,3216,130420,14132,2312143
"Diplodus annularis","species","Diplodus annularis","Diplodus annularis","Diplodus","Diplodus","Sparidae",3145,1704,97,32107,1522,901911
"Diplodus cervinus","species","Diplodus cervinus","Diplodus cervinus","Diplodus","Diplodus","Sparidae",0,0,0,0,1363,619
"Diplodus holbrookii","species","Diplodus holbrookii","Diplodus holbrookii","Diplodus","Diplodus","Sparidae",0,0,0,0,0,51
"Diplodus puntazzo","species","Diplodus puntazzo","Diplodus puntazzo","Diplodus","Diplodus","Sparidae",6372,0,0,16143,412,286365
"Diplodus vulgaris","species","Diplodus vulgaris","Diplodus vulgaris","Diplodus","Diplodus","Sparidae",22231,2566,661,144614,225,1653319
"Dussumieria","genus",NA,NA,"Dussumieria","Dussumieria","Dussumieriidae",0,0,0,0,1589,0
"Echelus myrus","species","Echelus myrus","Echelus myrus","Echelus","Echelus","Ophichthidae",0,0,0,269,0,197491
"Echiichthys vipera","species","Echiichthys vipera","Echiichthys vipera","Echiichthys","Echiichthys","Trachinidae",0,0,0,0,0,7
"Enchelycore anatina","species","Enchelycore anatina","Enchelycore anatina","Enchelycore","Enchelycore","Muraenidae",0,451,0,4041,964,0
"Encrasicholina","genus",NA,NA,"Encrasicholina","Encrasicholina","Engraulidae",0,0,0,0,779,0
"Encrasicholina punctifer","species","Encrasicholina punctifer","Encrasicholina punctifer","Encrasicholina","Encrasicholina","Engraulidae",0,0,0,0,28825,0
"Engraulis","genus",NA,NA,"Engraulis","Engraulis","Engraulidae",273054,11521,13142,390440,106764,2357738
"Engraulis encrasicolus","species","Engraulis encrasicolus","Engraulis encrasicolus","Engraulis","Engraulis","Engraulidae",19401,118,0,17108,0,59351
"Epinephelus","genus",NA,NA,"Epinephelus","Epinephelus","Serranidae",0,154,0,282,0,2506
"Epinephelus aeneus","species","Epinephelus aeneus","Epinephelus aeneus","Epinephelus","Epinephelus","Serranidae",0,0,0,64768,12,428
"Epinephelus costae","species","Epinephelus costae","Epinephelus costae","Epinephelus","Epinephelus","Serranidae",0,12226,0,170,33,175
